drug	atc
dr:D00373	N05AC02
dr:D00374	N05AF04
dr:D00375	N03AB04
dr:D00376	N05BC01
dr:D00377	A07EC02
dr:D00378	C07AA06
dr:D00378	S01ED01
dr:D00379	A10BB05
dr:D00380	A10BB03
dr:D00380	V04CA01
dr:D00381	D01AE18
dr:D00382	C03CA04
dr:D00383	C09AA10
dr:D00385	A01AC01
dr:D00385	C05AA12
dr:D00385	D07AB09
dr:D00385	D07XB02
dr:D00385	H02AB08
dr:D00385	R01AD11
dr:D00385	R03BA06
dr:D00385	S01BA05
dr:D00386	C03DB02
dr:D00387	N05CD05
dr:D00388	N05CM07
dr:D00389	A14AA03
dr:D00389	D11AE01
dr:D00390	N05AA05
dr:D00391	S01AD02
dr:D00392	N03AC02
dr:D00393	J01XX05
dr:D00394	N06AA06
dr:D00395	A10BG01
dr:D00396	B05BB03
dr:D00396	B05XX02
dr:D00397	S01FA06
dr:D00398	J05AB11
dr:D00399	N03AG01
dr:D00400	C09CA03
dr:D00401	H03BB02
dr:D00402	M03BA03
dr:D00403	N05AA02
dr:D00404	N03AD03
dr:D00405	C02AB01
dr:D00406	J05AB03
dr:D00406	S01AD06
dr:D00407	D07AA01
dr:D00407	D10AA02
dr:D00407	H02AB04
dr:D00408	G03BA02
dr:D00408	G03EK01
dr:D00409	A01AB17
dr:D00409	D06BX01
dr:D00409	G01AF01
dr:D00409	J01XD01
dr:D00409	P01AB01
dr:D00410	V04CD01
dr:D00411	R03DC01
dr:D00412	J05AF03
dr:D00413	J05AF01
dr:D00415	N02CC03
dr:D00416	A01AB09
dr:D00416	A07AC01
dr:D00416	D01AC02
dr:D00416	G01AF04
dr:D00416	J02AB01
dr:D00416	S02AA13
dr:D00417	C01CE02
dr:D00418	C02DC01
dr:D00418	D11AX01
dr:D00419	A02BB01
dr:D00419	G02AD06
dr:D00420	L01XX23
dr:D00421	C09AA05
dr:D00422	A02BA02
dr:D00423	J05AP01
dr:D00424	J04AB04
dr:D00425	M01AX01
dr:D00426	N05AX08
dr:D00427	J05AE03
dr:D00428	N02BA06
dr:D00429	J05AE01
dr:D00430	N05CA06
dr:D00431	C03BA08
dr:D00432	C07AA12
dr:D00433	D06BA01
dr:D00433	J01EC02
dr:D00434	C10AA01
dr:D00435	J05AG01
dr:D00436	P02DA01
dr:D00437	C08CA05
dr:D00438	C08CA06
dr:D00439	J01XE01
dr:D00440	A02BA04
dr:D00442	H01CB02
dr:D00443	C03DA01
dr:D00444	A14AA02
dr:D00445	J05AF04
dr:D00446	A02BX02
dr:D00447	J01EC01
dr:D00448	A07EC01
dr:D00449	M04AB02
dr:D00450	J01EB05
dr:D00450	S01AB02
dr:D00451	N02CC01
dr:D00452	M01AE07
dr:D00453	J01MA01
dr:D00453	S01AE01
dr:D00453	S02AA16
dr:D00454	N05AH03
dr:D00455	A02BC01
dr:D00456	A04AA01
dr:D00457	N05CD10
dr:D00458	N05AH04
dr:D00459	C09AA06
dr:D00460	P02BA02
dr:D00461	C03BA02
dr:D00462	A14AA08
dr:D00463	M01AE12
dr:D00464	N05BA04
dr:D00465	G04BD04
dr:D00466	J01CA12
dr:D00467	L01AX02
dr:D00468	L01DC02
dr:D00469	V03AB04
dr:D00470	N05BA11
dr:D00471	P02BA01
dr:D00472	A07EA01
dr:D00472	C05AA04
dr:D00472	D07AA03
dr:D00472	D07XA02
dr:D00472	H02AB06
dr:D00472	R01AD02
dr:D00472	S01BA04
dr:D00472	S01CB02
dr:D00472	S02BA03
dr:D00472	S03BA02
dr:D00473	A07EA03
dr:D00473	H02AB07
dr:D00474	N03AA03
dr:D00475	M04AB01
dr:D00476	C10AX02
dr:D00477	C01BA02
dr:D00478	L01XB01
dr:D00479	N05AB04
dr:D00480	D04AA10
dr:D00480	R06AD02
dr:D00481	A03AB05
dr:D00482	N02AC04
dr:D00483	C07AA05
dr:D00484	N06AA11
dr:D00485	R01BA02
dr:D00486	P02CC01
dr:D00487	N07AA02
dr:D00488	P01BD01
dr:D00489	P02CX01
dr:D00490	A14AA05
dr:D00491	L01CD01
dr:D00492	M03AC01
dr:D00493	N05AB04
dr:D00494	D04AA10
dr:D00494	R06AD02
dr:D00495	N03AC01
dr:D00496	M01CC01
dr:D00497	J01CE02
dr:D00498	N02AD01
dr:D00499	N05CA01
dr:D00500	N05CA01
dr:D00501	C04AD03
dr:D00502	N04BC02
dr:D00503	N05AB03
dr:D00504	N03AX07
dr:D00505	N06AF03
dr:D00506	N03AA02
dr:D00507	C04AX02
dr:D00508	N03AD02
dr:D00509	C04AB01
dr:D00509	V03AB36
dr:D00510	M01AA01
dr:D00510	M02AA01
dr:D00511	C01CA06
dr:D00511	R01AA04
dr:D00511	R01AB01
dr:D00511	R01BA03
dr:D00511	S01FB01
dr:D00511	S01GA05
dr:D00512	N03AB02
dr:D00513	C07AA03
dr:D00514	N05CM18
dr:D00515	C01DA02
dr:D00515	C05AE01
dr:D00516	C01DA08
dr:D00516	C05AE02
dr:D00517	V03AB22
dr:D00518	S01EC02
dr:D00519	C03AA04
dr:D00521	R06AX12
dr:D00522	C09CA06
dr:D00523	C09CA04
dr:D00524	N07AB01
dr:D00524	S01EB02
dr:D00525	N07AX01
dr:D00525	S01EB01
dr:D00526	A07EB01
dr:D00526	D11AH03
dr:D00526	R01AC01
dr:D00526	R03BC01
dr:D00526	S01GX01
dr:D00527	R01AC07
dr:D00527	R03BC03
dr:D00527	S01GX04
dr:D00528	N06BC01
dr:D00529	R03DC03
dr:D00530	N05CF03
dr:D00531	N05CD02
dr:D00532	N05CE01
dr:D00533	N03AF02
dr:D00534	P03AX03
dr:D00535	N03AG04
dr:D00536	N03AX10
dr:D00537	N03AX11
dr:D00538	N03AX15
dr:D00539	N03AD01
dr:D00540	A03AB02
dr:D00540	R03BB06
dr:D00542	N01AB01
dr:D00543	N01AB04
dr:D00544	N02BG09
dr:D00545	N01AB06
dr:D00546	N01AB07
dr:D00547	N01AB08
dr:D00548	N01AX07
dr:D00549	N01AX10
dr:D00550	N05CD08
dr:D00551	C05AD02
dr:D00551	D04AB06
dr:D00551	N01BA03
dr:D00551	S01HA03
dr:D00552	C05AD03
dr:D00552	D02BA01
dr:D00552	D04AB04
dr:D00552	N01BA05
dr:D00552	R02AD01
dr:D00553	N01BB04
dr:D00554	G03CA01
dr:D00554	L02AA03
dr:D00555	N05CA02
dr:D00556	N02BB03
dr:D00557	N05CM01
dr:D00559	N04BC05
dr:D00560	N05AG02
dr:D00561	N05AE03
dr:D00562	H03BA02
