ds	icd
ds:H00434	Q78.3
ds:H00435	B58
ds:H00436	Q78.2
ds:H00437	M88
ds:H00438	E75.2
ds:H00439	D61.0
ds:H00440	F84.2
ds:H00441	M61.5
ds:H00442	Q87.1
ds:H00443	Q87.1
ds:H00444	Q78.8
ds:H00445	Q77.7
ds:H00446	Q87.0
ds:H00447	Q78.8
ds:H00448	M93.2
ds:H00449	Q87.8
ds:H00450	Q78.2
ds:H00451	Q87.5
ds:H00452	Q78.8
ds:H00453	Q87
ds:H00454	Q87.0
ds:H00455	G12.0
ds:H00455	G12.1
ds:H00456	Q77.8
ds:H00456	Q78.5
ds:H00457	M89.4
ds:H00458	Q87
ds:H00459	Q70.0
ds:H00459	Q70.2
ds:H00460	Q51.5
ds:H00461	Q74.1
ds:H00462	Q78.8
ds:H00463	Q42
ds:H00464	Q87.2
ds:H00465	Q99.2
ds:H00466	Q77.8
ds:H00467	Q73.8
ds:H00468	Q78.8
ds:H00469	E88.8
ds:H00470	Q77.8
ds:H00471	Q71.6
ds:H00471	Q72.7
ds:H00472	Q85.9
ds:H00473	E88.8
ds:H00474	Q77.7
ds:H00475	Q75.8
ds:H00476	Q77.3
ds:H00477	Q77.8
ds:H00478	Q87.1
ds:H00479	Q78.5
ds:H00479	Q78.8
ds:H00479	D61.0
ds:H00480	F78.9
ds:H00481	H35.5
ds:H00482	Q73.8
ds:H00483	Q78.8
ds:H00484	Q78.8
ds:H00485	Q87.1
ds:H00486	Q78.8
ds:H00487	Q82.4
ds:H00488	E71.3
ds:H00489	E71.3
ds:H00491	Q78.8
ds:H00492	Q87.1
ds:H00493	Q87.1
ds:H00493	G71.1
ds:H00493	Q87.8
ds:H00493	Q78.6
ds:H00494	Q78.8
ds:H00496	Q87.8
ds:H00497	K10.8
ds:H00499	Q76.4
ds:H00500	Q87.8
ds:H00501	Q78.1
ds:H00502	D33.0
ds:H00503	Q77.6
ds:H00504	Q87.2
ds:H00505	Q77.4
ds:H00506	Q78.0
ds:H00507	Q82.8
ds:H00508	Q78.8
ds:H00509	Q87.1
ds:H00510	Q87.8
ds:H00511	Q77.2
ds:H00512	P70.2
ds:H00513	P70.2
ds:H00514	Q78.0
