atc	icd
B02BD04	D68.0
B02BD04	D68.0
B02BD04	D68.0
B02BD02	D68.0
B02BD04	D68.0
B02BD02	D68.0
B02BX06	D68.0
B02BD02	D68.0
B02BD02	D68.0
B02BD02	D68.0
B02BD02	D68.0
B02BC30	D68.2
B01AC05	D69.2
B02BD08	D69.1
L01AC01	D56.4
L01XX05	D57
V04CG05	D74.0
V04CG05	D74.0
S03BA02	D61.0
S01XA18	D61.0
H02AB04	D61.0
S02BA01	D61.0
S03BA01	D61.0
H02AB04	D61.0
H02AB07	D61.0
S01BA05	D61.0
L01AA01	D61.0
A12BA02	N25.8
B05XA02	N25.8
A12BA02	N25.8
B05XA02	N25.8
H05BX01	E21.0
H03AA01	E03.1
H01BA01	E23.2
H01BA02	E23.2
V04CM01	E23.0
H01AC01	E23.0
H01AC03	E23.0
G03EK01	E23.0
V04CM01	E23.0
G03BA03	E23.0
G03BA03	E23.0
G03BA01	E23.0
G03BA03	E23.0
G03GA05	E23.0
G03GA01	E23.0
G03BA03	E23.0
S01XA21	E72.0
A16AA04	E72.0
L04AC04	E85.0
L04AC03	E85.0
L04AC08	E85.0
L04AX01	K50
A07EC02	K50
L04AA23	K50
R03BA02	K50
L04AC05	K50
L04AB05	K50
L04AA33	K50
L04AB04	K50
L04AB02	K50
S03BA02	K50
H02AB07	K50
L04AC08	E85.0
M04AC01	E85.0
L01CB01	O01
C01BD01	I42
C07AG02	I42
C07AB07	I42
S01AE07	A20
S03AA07	A20
S03AA07	A20
S03AA02	A20
J01AA08	A20
J01AA02	A20
J01GA01	A20
J01AA02	A20
S01AE05	A20
J01AA02	A20
J01AA01	A20
J01EE01	A03
J07AG51	J20.1
S03AA08	A57
S01AA17	A57
S03AA08	A57
S03AA02	A57
S01AA17	A57
J01AA08	A57
J01AA02	A57
J01GA01	A57
J01AA02	A57
J01AA02	A57
J01AA01	A57
S01AA14	A28.0
S01AA14	A28.0
S03AA02	A78
J01AA08	A78
J01AA02	A78
J01AA02	A78
S01AE05	A78
J01AA02	A78
J01AA01	A78
S01AA17	A48.2
S01AA17	A48.2
S01AA17	A48.2
S01AA17	A48.2
S01AE02	A21
S03AA08	A21
S03AA08	A21
S03AA02	A21
J01AA08	A21
J01AA02	A21
J01GA01	A21
J01AA02	A21
S01AE05	A21
J01AA02	A21
J01AA01	A21
J07AH08	A39
S01AA14	A39
S01AA27	A54
J01MB02	A54
S01AA19	A54
J01DD08	A54
S01AA17	A54
J01DD04	A54
J01CA06	A54
J01CA04	A54
S01AA19	A54
J01CR04	A54
J01XX04	A54
S01AA17	A54
S03AA08	A54
S03AA07	A54
S01AA17	A54
S03AA08	A54
J01DB01	A54
S01AA24	A54
J01RA01	A54
S03AA02	A54
S01AA27	A54
S01AA17	A54
J01AA08	A54
S01AA14	A54
J01AA02	A54
J01AA02	A54
J01AA02	A54
J01AA01	A54
J01FA09	A37
S01AA17	A37
S03AA08	A37
S01AA17	A37
S03AA08	A37
S01EA01	A37
S01AA24	A37
S03AA02	A37
S01AA17	A37
J01DD16	A37
J01AA01	A37
R05FA02	A37
P01AB01	A49.8
A02BC01	A49.8
