ds	icd	pathway
ds:H00982	D64.3	NA
ds:H00917	D64.4	path:hsa04141
ds:H01587	D65	NA
ds:H00219	D66	path:hsa04512
ds:H00219	D66	path:hsa04610
ds:H00219	D66	path:hsa04640
ds:H00219	D67	path:hsa04512
ds:H00219	D67	path:hsa04610
ds:H00219	D67	path:hsa04640
ds:H01254	D68	path:hsa04610
ds:H00219	D68.0	path:hsa04512
ds:H00219	D68.0	path:hsa04610
ds:H00219	D68.0	path:hsa04640
ds:H02092	D68.0	path:hsa04610
ds:H02092	D68.0	path:hsa04611
ds:H00938	D68.1	path:hsa04610
ds:H00220	D68.2	path:hsa04610
ds:H00222	D68.2	path:hsa04610
ds:H00223	D68.2	path:hsa04610
ds:H00941	D68.2	path:hsa04610
ds:H00945	D68.2	path:hsa04610
ds:H02256	D68.2	path:hsa04610
ds:H02257	D68.2	path:hsa04610
ds:H00995	D68.4	NA
ds:H01381	D68.5	path:hsa04610
ds:H00983	D68.8	path:hsa04610
ds:H01078	D68.8	path:hsa04610
ds:H01106	D68.8	path:hsa04115
ds:H01106	D68.8	path:hsa04610
ds:H01584	D69.0	NA
ds:H00224	D69.1	path:hsa04512
ds:H00224	D69.1	path:hsa04640
ds:H00226	D69.1	path:hsa04510
ds:H00226	D69.1	path:hsa04512
ds:H02093	D69.1	path:hsa04611
ds:H02097	D69.1	NA
ds:H00225	D69.2	NA
ds:H01240	D69.3	path:hsa04145
ds:H01240	D69.3	path:hsa04380
ds:H01240	D69.3	path:hsa04666
ds:H00227	D69.4	path:hsa04060
ds:H00578	D69.4	path:hsa04530
ds:H00578	D69.4	path:hsa04810
ds:H00978	D69.4	path:hsa04530
ds:H02053	D69.4	path:hsa04530
ds:H02053	D69.4	path:hsa04810
ds:H01740	D69.6	path:hsa04151
ds:H01740	D69.6	path:hsa04510
ds:H01740	D69.6	path:hsa04611
ds:H01740	D69.6	path:hsa04810
ds:H00867	D69.8	NA
ds:H01162	D69.8	NA
ds:H01235	D69.8	NA
ds:H02259	D69.8	path:hsa04020
ds:H02259	D69.8	path:hsa04611
ds:H00100	D70	NA
ds:H00939	D70	NA
ds:H01218	D70	NA
ds:H00098	D71	path:hsa04666
ds:H02024	D71	NA
ds:H00233	D72.0	path:hsa04530
ds:H00233	D72.0	path:hsa04810
ds:H00234	D72.0	NA
ds:H02051	D72.0	path:hsa04530
ds:H02051	D72.0	path:hsa04810
ds:H02052	D72.0	NA
ds:H00235	D74.0	path:hsa00520
ds:H00236	D75.0	NA
ds:H00109	D76.1	NA
ds:H00815	D76.3	NA
ds:H01168	D76.3	NA
ds:H00085	D80	path:hsa05340
ds:H00086	D80	path:hsa05340
ds:H00087	D80	NA
ds:H00088	D80	path:hsa05340
ds:H00091	D81	path:hsa05340
ds:H00092	D81	path:hsa05340
ds:H00093	D81	path:hsa05340
ds:H01244	D81	NA
ds:H01128	D81.0	path:hsa00230
ds:H02015	D81.1	path:hsa03450
ds:H00984	D81.6	path:hsa02010
ds:H00984	D81.6	path:hsa04145
ds:H00984	D81.6	path:hsa04612
ds:H00984	D81.6	path:hsa05340
ds:H00985	D81.6	path:hsa04612
ds:H00985	D81.6	path:hsa05340
ds:H02133	D81.9	NA
ds:H01523	D82.0	path:hsa04144
ds:H01523	D82.0	path:hsa04810
ds:H01004	D82.1	NA
ds:H01524	D82.1	NA
ds:H01969	D82.3	path:hsa04210
ds:H01969	D82.3	path:hsa04650
ds:H01970	D82.3	path:hsa04660
ds:H01968	D82.4	NA
ds:H00094	D82.8	path:hsa03440
ds:H00095	D82.8	path:hsa05340
ds:H00931	D82.8	path:hsa04012
ds:H00931	D82.8	path:hsa04062
ds:H00931	D82.8	path:hsa04630
ds:H00962	D82.8	NA
ds:H01344	D82.8	path:hsa03440
ds:H01344	D82.8	path:hsa03450
ds:H01006	D84.1	path:hsa04610
ds:H01136	D84.1	NA
ds:H00089	D84.8	NA
ds:H01309	D86	path:hsa04621
ds:H00206	D89.2	path:hsa00900
ds:H01117	D89.8	path:hsa00561
ds:H01117	D89.8	path:hsa00564
ds:H01741	D89.8	path:hsa03050
ds:H01743	D89.8	path:hsa04064
ds:H01744	D89.8	path:hsa04621
ds:H01748	D89.8	path:hsa04621
ds:H00250	E03.1	path:hsa04918
ds:H00250	E03.1	path:hsa04919
ds:H00913	E03.1	NA
ds:H01040	E03.1	NA
ds:H02034	E03.1	NA
ds:H00650	E03.8	NA
ds:H01186	E03.8	NA
ds:H01645	E05	NA
ds:H00082	E05.0	path:hsa05320
ds:H01269	E05.8	NA
ds:H01647	E06.1	NA
ds:H00081	E06.3	path:hsa05320
ds:H00251	E07.1	path:hsa00350
ds:H00249	E07.8	path:hsa04080
ds:H00408	E10	path:hsa04060
ds:H00408	E10	path:hsa04630
ds:H00408	E10	path:hsa04660
ds:H00408	E10	path:hsa04722
ds:H00408	E10	path:hsa04940
ds:H00409	E11	path:hsa03320
ds:H00409	E11	path:hsa04110
ds:H00409	E11	path:hsa04115
ds:H00409	E11	path:hsa04141
ds:H00409	E11	path:hsa04310
ds:H00409	E11	path:hsa04330
ds:H00409	E11	path:hsa04350
ds:H00409	E11	path:hsa04911
ds:H00409	E11	path:hsa04930
ds:H00409	E11	path:hsa04950
ds:H00409	E11	path:hsa04972
ds:H01228	E11	path:hsa04520
ds:H01228	E11	path:hsa04910
ds:H01228	E11	path:hsa04930
ds:H01228	E11	path:hsa04960
ds:H00410	E13	path:hsa04910
ds:H00410	E13	path:hsa04930
ds:H00410	E13	path:hsa04950
ds:H00766	E13	path:hsa04141
ds:H00942	E13	path:hsa04520
ds:H00942	E13	path:hsa04910
ds:H00942	E13	path:hsa04930
ds:H00942	E13	path:hsa04960
ds:H00854	E13.8	path:hsa04141
ds:H01456	E14.2	path:hsa04068
ds:H01456	E14.2	path:hsa04211
ds:H01456	E14.2	path:hsa04614
ds:H01456	E14.2	path:hsa04933
ds:H01457	E14.3	path:hsa04066
ds:H01457	E14.3	path:hsa04614
ds:H01457	E14.3	path:hsa04933
ds:H01459	E14.4	path:hsa04933
ds:H01267	E16.1	path:hsa00010
ds:H01267	E16.1	path:hsa00071
ds:H01267	E16.1	path:hsa00471
ds:H01267	E16.1	path:hsa02010
ds:H01267	E16.1	path:hsa04910
ds:H01267	E16.1	path:hsa04930
ds:H01522	E16.4	path:hsa04971
ds:H01862	E20	NA
ds:H00244	E20.1	path:hsa04130
ds:H00246	E21.0	NA
ds:H02030	E21.0	NA
ds:H01669	E21.1	NA
ds:H01683	E22	path:hsa04080
ds:H01683	E22	path:hsa04962
ds:H01483	E22.0	NA
ds:H01618	E22.0	NA
ds:H01864	E22.0	NA
ds:H01388	E22.1	path:hsa04151
ds:H01388	E22.1	path:hsa04630
ds:H01388	E22.1	path:hsa04917
ds:H01294	E22.2	path:hsa04080
ds:H01294	E22.2	path:hsa04962
ds:H01682	E22.2	path:hsa04080
ds:H01682	E22.2	path:hsa04962
ds:H00937	E22.8	path:hsa04020
ds:H00937	E22.8	path:hsa04080
ds:H00937	E22.8	path:hsa04912
ds:H01683	E23	path:hsa04080
ds:H01683	E23	path:hsa04962
ds:H00254	E23.0	NA
ds:H00255	E23.0	path:hsa04080
ds:H00255	E23.0	path:hsa04810
ds:H00255	E23.0	path:hsa04912
ds:H01699	E23.0	path:hsa04918
ds:H01700	E23.0	path:hsa04080
ds:H01860	E23.0	path:hsa04912
