ds	drug
ds:H00334	dr:D02226
ds:H01714	dr:D02981
ds:H01611	dr:D05113
ds:H00376	dr:D05543
ds:H00057	dr:D00059
ds:H01600	dr:D00059
ds:H00612	dr:D01025
ds:H00042	dr:D02908
ds:H00022	dr:D02908
ds:H00079	dr:D00324
ds:H01639	dr:D04463
ds:H00627	dr:D04463
ds:H01360	dr:D03325
ds:H00031	dr:D03257
ds:H00018	dr:D03257
ds:H00021	dr:D03357
ds:H00098	dr:D03357
ds:H01463	dr:D03357
ds:H01490	dr:D05218
ds:H01730	dr:D00359
ds:H01632	dr:D00359
ds:H01635	dr:D00359
ds:H01360	dr:D01128
ds:H00343	dr:D02009
ds:H00315	dr:D02009
ds:H00311	dr:D02009
ds:H00334	dr:D02009
ds:H01656	dr:D04796
ds:H00630	dr:D04800
ds:H01611	dr:D02780
ds:H00409	dr:D01854
ds:H01587	dr:D01672
ds:H01681	dr:D01672
ds:H01680	dr:D01672
ds:H00342	dr:D03063
ds:H01633	dr:D01115
ds:H01633	dr:D00656
ds:H01495	dr:D04259
ds:H01495	dr:D04261
ds:H01445	dr:D01147
ds:H00038	dr:D10574
ds:H00014	dr:D10574
ds:H00040	dr:D10574
ds:H00007	dr:D10574
ds:H00022	dr:D10574
ds:H00020	dr:D10574
ds:H00018	dr:D10574
ds:H00030	dr:D10574
ds:H01635	dr:D04267
ds:H00363	dr:D02501
ds:H01328	dr:D02501
ds:H01633	dr:D10249
ds:H01714	dr:D05277
ds:H01644	dr:D02531
ds:H01490	dr:D04554
ds:H01633	dr:D00345
ds:H01657	dr:D00247
ds:H00412	dr:D01626
ds:H01641	dr:D04478
ds:H00630	dr:D00126
ds:H01638	dr:D00126
ds:H00630	dr:D00463
ds:H01672	dr:D00463
ds:H01532	dr:D00463
ds:H00343	dr:D03925
ds:H00343	dr:D03927
ds:H01360	dr:D01192
ds:H01656	dr:D01192
ds:H01593	dr:D04486
ds:H01656	dr:D00328
ds:H01663	dr:D00328
ds:H01372	dr:D00328
ds:H01463	dr:D00328
ds:H01656	dr:D01886
ds:H01663	dr:D01886
ds:H01595	dr:D01886
ds:H00038	dr:D11053
ds:H01629	dr:D02705
ds:H01625	dr:D02705
ds:H01626	dr:D02705
ds:H01358	dr:D00023
ds:H01673	dr:D00023
ds:H00155	dr:D01913
ds:H01635	dr:D01913
ds:H00038	dr:D02748
ds:H00413	dr:D02748
ds:H01657	dr:D03471
ds:H01240	dr:D03978
ds:H01132	dr:D03978
ds:H00365	dr:D02764
ds:H00366	dr:D02764
ds:H01634	dr:D02416
ds:H01662	dr:D01316
ds:H01450	dr:D01316
ds:H01634	dr:D01316
ds:H01615	dr:D01316
ds:H01633	dr:D01316
ds:H00361	dr:D02262
ds:H01649	dr:D00479
ds:H00014	dr:D01977
ds:H01533	dr:D05313
ds:H00396	dr:D05089
ds:H01631	dr:D00614
ds:H01593	dr:D04453
ds:H01366	dr:D00589
ds:H01644	dr:D00589
ds:H00435	dr:D00488
ds:H00361	dr:D00488
ds:H01459	dr:D03065
ds:H00079	dr:D01373
ds:H01714	dr:D01373
ds:H01643	dr:D04805
ds:H00735	dr:D04805
ds:H01673	dr:D04805
ds:H00040	dr:D03455
ds:H00020	dr:D03455
ds:H01646	dr:D01546
ds:H01563	dr:D01160
ds:H01563	dr:D00435
ds:H00394	dr:D04866
ds:H01463	dr:D04872
ds:H00007	dr:D04872
ds:H00003	dr:D04872
ds:H00005	dr:D04872
ds:H00012	dr:D04872
ds:H01633	dr:D00400
ds:H00048	dr:D06294
ds:H00408	dr:D05595
ds:H00409	dr:D05595
ds:H01598	dr:D01239
ds:H01647	dr:D01239
ds:H01011	dr:D01239
ds:H01645	dr:D01239
ds:H00630	dr:D01239
ds:H01672	dr:D01239
ds:H01606	dr:D01239
ds:H00080	dr:D01239
ds:H01595	dr:D01239
ds:H01655	dr:D01239
ds:H01604	dr:D01239
ds:H01492	dr:D01239
ds:H01718	dr:D01239
ds:H01657	dr:D01239
ds:H00079	dr:D01239
ds:H00004	dr:D01239
ds:H00005	dr:D01239
ds:H01132	dr:D01239
ds:H01466	dr:D01239
ds:H01594	dr:D01239
ds:H01490	dr:D01239
ds:H01436	dr:D01239
ds:H00007	dr:D01239
ds:H01463	dr:D01239
ds:H00031	dr:D01239
ds:H01674	dr:D01239
ds:H00024	dr:D01239
ds:H01357	dr:D01239
ds:H01358	dr:D01239
ds:H01652	dr:D01239
ds:H01656	dr:D01239
ds:H01663	dr:D01239
ds:H01694	dr:D01239
ds:H00960	dr:D01239
ds:H01476	dr:D01239
ds:H01648	dr:D01239
ds:H01362	dr:D01239
ds:H01650	dr:D01239
ds:H01659	dr:D01239
ds:H01620	dr:D01239
ds:H00366	dr:D01239
ds:H01717	dr:D01239
ds:H01644	dr:D01239
ds:H01360	dr:D01239
ds:H01633	dr:D00610
ds:H00255	dr:D00408
ds:H00031	dr:D00408
ds:H02027	dr:D00408
ds:H01594	dr:D00994
ds:H00787	dr:D06543
ds:H01047	dr:D00134
ds:H01153	dr:D00134
ds:H01634	dr:D04379
ds:H01593	dr:D03234
ds:H01709	dr:D03234
ds:H00437	dr:D03234
ds:H00057	dr:D00253
ds:H01600	dr:D00253
ds:H01176	dr:D00924
ds:H01213	dr:D00924
ds:H00315	dr:D00924
ds:H00319	dr:D05356
ds:H00343	dr:D05356
ds:H00337	dr:D05356
ds:H01646	dr:D05374
ds:H01450	dr:D05374
ds:H01664	dr:D05374
ds:H01670	dr:D05374
ds:H01662	dr:D05374
ds:H00334	dr:D01401
ds:H01213	dr:D01401
ds:H01633	dr:D00604
ds:H01635	dr:D01934
ds:H00155	dr:D01934
ds:H00165	dr:D05177
ds:H01649	dr:D02100
ds:H00398	dr:D03829
ds:H01563	dr:D00413
ds:H01730	dr:D05721
ds:H00413	dr:D00423
ds:H00343	dr:D05257
ds:H00337	dr:D05257
ds:H01634	dr:D05259
ds:H00320	dr:D05259
ds:H01602	dr:D05259
ds:H01522	dr:D05259
ds:H00408	dr:D00061
ds:H00409	dr:D00061
ds:H00057	dr:D04641
ds:H00354	dr:D01016
ds:H00100	dr:D03247
ds:H01506	dr:D02554
ds:H00079	dr:D01574
ds:H00892	dr:D01574
ds:H00342	dr:D01574
ds:H00219	dr:D05870
ds:H00012	dr:D05870
ds:H00004	dr:D05870
ds:H00005	dr:D05870
ds:H00255	dr:D03267
ds:H00254	dr:D03267
ds:H01656	dr:D03301
ds:H01663	dr:D03301
ds:H01634	dr:D03336
ds:H01602	dr:D03336
ds:H00079	dr:D01423
ds:H01358	dr:D01423
ds:H01360	dr:D01423
ds:H01637	dr:D03343
ds:H01730	dr:D05206
ds:H01595	dr:D00985
ds:H01654	dr:D00985
ds:H00821	dr:D01162
ds:H01316	dr:D00209
ds:H00342	dr:D00424
ds:H01472	dr:D00424
ds:H02029	dr:D00424
ds:H01458	dr:D00424
ds:H01459	dr:D10199
ds:H00409	dr:D10200
ds:H00408	dr:D10200
ds:H01634	dr:D04393
ds:H01714	dr:D05744
ds:H01635	dr:D03582
ds:H00409	dr:D03582
ds:H01637	dr:D05255
ds:H01635	dr:D05255
ds:H00337	dr:D05256
ds:H00343	dr:D05256
ds:H01445	dr:D11084
ds:H00116	dr:D03346
ds:H01593	dr:D09198
ds:H00630	dr:D00127
ds:H01565	dr:D03321
ds:H01566	dr:D03321
ds:H01594	dr:D00487
ds:H01593	dr:D03358
ds:H01563	dr:D06670
ds:H00612	dr:D00218
ds:H01714	dr:D00218
ds:H01495	dr:D00218
ds:H00630	dr:D01395
ds:H00342	dr:D01643
ds:H00398	dr:D05182
ds:H00031	dr:D04071
ds:H00024	dr:D04071
ds:H00125	dr:D03228
ds:H01634	dr:D03236
ds:H00398	dr:D00777
ds:H00057	dr:D00777
ds:H01600	dr:D00777
ds:H00023	dr:D04107
ds:H00013	dr:D04107
ds:H01641	dr:D04113
ds:H01006	dr:D03931
ds:H00219	dr:D00172
ds:H00226	dr:D00172
ds:H00334	dr:D02509
ds:H01213	dr:D02509
ds:H01445	dr:D04811
ds:H00354	dr:D02420
ds:H01515	dr:D02420
ds:H01681	dr:D05183
ds:H01481	dr:D03021
ds:H01633	dr:D01830
ds:H01632	dr:D01830
ds:H01577	dr:D01830
ds:H00003	dr:D02106
ds:H00401	dr:D02737
ds:H00821	dr:D05697
ds:H01651	dr:D05697
ds:H01457	dr:D05697
ds:H00056	dr:D03822
ds:H00315	dr:D00927
ds:H01408	dr:D00927
ds:H01515	dr:D00927
ds:H01633	dr:D01204
ds:H01633	dr:D00626
ds:H01316	dr:D00381
ds:H01334	dr:D00381
ds:H01609	dr:D02624
ds:H01600	dr:D02247
ds:H01653	dr:D00304
ds:H01360	dr:D02234
ds:H00079	dr:D00688
ds:H00892	dr:D00688
ds:H01714	dr:D00688
ds:H01608	dr:D00783
ds:H00527	dr:D01031
ds:H01657	dr:D06917
ds:H01671	dr:D06920
ds:H01593	dr:D01968
ds:H01709	dr:D01968
ds:H00437	dr:D01968
ds:H00395	dr:D06512
ds:H01646	dr:D01285
ds:H01521	dr:D00236
ds:H00004	dr:D06109
ds:H00003	dr:D06109
ds:H01360	dr:D01654
ds:H01639	dr:D03799
ds:H01671	dr:D07049
ds:H01609	dr:D07049
ds:H01671	dr:D07050
ds:H01609	dr:D07050
ds:H01818	dr:D05928
ds:H00079	dr:D04299
ds:H00368	dr:D04301
ds:H00630	dr:D01808
ds:H00045	dr:D05932
ds:H01895	dr:D04999
ds:H01646	dr:D05375
ds:H01450	dr:D05375
ds:H01664	dr:D05375
ds:H01662	dr:D05375
ds:H01634	dr:D00419
ds:H01563	dr:D07133
ds:H01646	dr:D00815
ds:H00014	dr:D07100
ds:H00013	dr:D07100
ds:H00409	dr:D00379
ds:H00409	dr:D00380
ds:H01643	dr:D06620
ds:H01633	dr:D06622
ds:H00031	dr:D00964
ds:H01633	dr:D10589
ds:H01445	dr:D10590
ds:H00363	dr:D02465
ds:H01328	dr:D02465
ds:H00125	dr:D05031
ds:H01671	dr:D06931
ds:H01609	dr:D06931
ds:H00219	dr:D05409
ds:H01633	dr:D00386
ds:H01563	dr:D00891
ds:H00437	dr:D00941
ds:H00506	dr:D00941
ds:H00377	dr:D06504
ds:H01566	dr:D06937
ds:H01633	dr:D06937
